machine_number,X,Y
2001,1,2
2002,2,2
2003,3,2
2004,4,2
2005,5,2
2006,6,2
2007,7,2
2008,8,2
2009,9,2
2010,10,2
2011,11,2
2012,12,2
2013,13,2
2014,14,2
2015,15,2
2016,16,2
2017,17,2
2018,18,2
2019,19,2
2020,20,2
2021,22,2
2022,23,2
2023,24,2
2024,25,2
2025,26,2
2026,27,2
2027,28,2
2028,29,2
2029,30,2
2030,31,2
2031,32,2
2032,32,5
2033,31,5
2034,30,5
2035,29,5
2036,28,5
2037,27,5
2038,26,5
2039,25,5
2040,24,5
2041,23,5
2042,22,5
2043,17,5
2044,16,5
2045,15,5
2046,14,5
2047,13,5
2048,12,5
2049,11,5
2050,10,5
2051,9,5
2052,8,5
2053,7,5
2054,6,5
2055,5,5
2056,4,5
2057,3,5
2058,2,5
2059,1,5
2060,1,8
2061,2,8
2062,3,8
2063,4,8
2064,5,8
2065,6,8
2066,7,8
2067,8,8
2068,9,8
2069,10,8
2070,11,8
2071,12,8
2072,13,8
2073,14,8
2074,15,8
2075,16,8
2076,17,8
2077,22,8
2078,23,8
2079,24,8
2080,25,8
2081,26,8
2082,27,8
2083,28,8
2084,29,8
2085,30,8
2086,31,8
2087,32,8
2088,32,11
2089,31,11
2090,30,11
2091,29,11
2092,28,11
2093,27,11
2094,26,11
2095,25,11
2096,24,11
2097,23,11
2098,22,11
2099,15,11
2100,14,11
2101,13,11
2102,12,11
2103,11,11
2104,10,11
2105,9,11
2106,8,11
2107,7,11
2108,6,11
2109,5,11
2110,5,14
2111,6,14
2112,7,14
2113,8,14
2114,9,14
2115,10,14
2116,11,14
2117,12,14
2118,13,14
2119,14,14
2120,15,14
2121,22,14
2122,23,14
2123,24,14
2124,25,14
2125,26,14
2126,27,14
2127,28,14
2128,29,14
2129,30,14
2130,31,14
2131,32,14
2132,32,17
2133,31,17
2134,30,17
2135,29,17
2136,28,17
2137,27,17
2138,26,17
2139,25,17
2140,24,17
2141,23,17
2142,22,17
2143,14,17
2144,13,17
2145,12,17
2146,11,17
2147,11,20
2148,12,20
2149,13,20
2150,14,20
2151,22,20
2152,23,20
2153,24,20
2154,25,20
2155,26,20
2156,27,20
2157,28,20
2158,29,20
2159,30,20
2160,31,20
2161,32,20
2162,16,24
2163,15,24
2164,14,24
2165,13,24
2166,12,24
2167,10,24
2168,9,24
2169,8,24
2170,7,24
2171,6,24
2172,5,24
2173,4,24
2174,3,24
2175,2,24
2176,1,24
2177,1,27
2178,2,27
2179,3,27
2180,4,27
2181,5,27
2182,6,27
2183,7,27
2184,8,27
2185,9,27
2186,10,27
2187,13,27
2188,14,27
2189,15,27
2190,16,27
2191,24,30
2192,23,30
2193,22,30
2194,21,30
2195,20,30
2196,19,30
2197,18,30
2198,17,30
2199,16,30
2200,15,30
2201,14,30
2202,13,30
2203,10,30
2204,9,30
2205,8,30
2206,7,30
2207,6,30
2208,5,30
2209,4,30
2210,3,30
2211,2,30
2212,1,30
2213,1,33
2214,2,33
2215,3,33
2216,4,33
2217,5,33
2218,6,33
2219,7,33
2220,8,33
2221,9,33
2222,10,33
2223,13,33
2224,14,33
2225,15,33
2226,16,33
2227,17,33
2228,18,33
2229,19,33
2230,20,33
2231,21,33
2232,22,33
2233,23,33
2234,24,33
2235,25,33
2236,32,36
2237,31,36
2238,30,36
2239,29,36
2240,28,36
2241,27,36
2242,26,36
2243,25,36
2244,24,36
2245,23,36
2246,22,36
2247,21,36
2248,20,36
2249,19,36
2250,18,36
2251,17,36
2252,16,36
2253,15,36
2254,14,36
2255,13,36
2256,10,36
2257,9,36
2258,8,36
2259,7,36
2260,6,36
2261,5,36
2262,4,36
2263,3,36
2264,2,36
2265,1,36
2266,1,39
2267,2,39
2268,3,39
2269,4,39
2270,5,39
2271,6,39
2272,7,39
2273,8,39
2274,9,39
2275,10,39
2276,13,39
2277,14,39
2278,15,39
2279,16,39
2280,17,39
2281,18,39
2282,19,39
2283,20,39
2284,21,39
2285,22,39
2286,23,39
2287,24,39
2288,25,39
2289,26,39
2290,27,39
2291,28,39
2292,29,39
2293,30,39
2294,31,39
2295,32,39
2296,32,42
2297,31,42
2298,30,42
2299,29,42
2300,28,42
2301,27,42
2302,26,42
2303,25,42
2304,24,42
2305,23,42
2306,22,42
2307,21,42
2308,20,42
2309,19,42
2310,18,42
2311,10,42
2312,9,42
2313,8,42
2314,7,42
2315,6,42
2316,5,42
2317,4,42
2318,3,42
2319,2,42
2320,1,42
2321,13,46
2322,13,47
2323,13,48
2324,13,49
2325,13,50
2326,13,51
2327,13,52
2328,13,53
2329,13,54
2330,13,55
2331,1,45
2332,2,45
2333,3,45
2334,4,45
2335,5,45
2336,6,45
2337,7,45
2338,8,45
2339,9,45
2340,10,45
2341,10,48
2342,9,48
2343,8,48
2344,7,48
2345,6,48
2346,5,48
2347,4,48
2348,3,48
2349,2,48
2350,1,48
2351,1,51
2352,2,51
2353,3,51
2354,4,51
2355,5,51
2356,6,51
2357,7,51
2358,8,51
2359,9,51
2360,10,51
2361,10,54
2362,9,54
2363,8,54
2364,7,54
2365,6,54
2366,5,54
2367,4,54
2368,3,54
2369,2,54
2370,1,54
