rank,last_digit,combined_score
1,4,2.9
2,8,2.3
3,2,2.0
4,3,1.7000000000000002
5,1,1.5999999999999999
6,7,1.5
7,6,1.2999999999999998
8,0,1.2
9,9,1.0
10,5,0.9999999999999999
