period,feature,base_auc,importance_mean,importance_std,delta_recent_minus_old
older_period,day_of_month,0.7175954788308806,9.991085190251825e-05,0.00015023893655169272,-0.000312563696134327
recent_period,day_of_month,0.6783625730994152,-0.00021265284423180875,0.0033160663875856367,-0.000312563696134327
older_period,day_of_week_num,0.7175954788308806,-0.00026155523831374874,0.0010759523144488713,0.00224631511781046
recent_period,day_of_week_num,0.6783625730994152,0.0019847598794967116,0.003488666246245692,0.00224631511781046
older_period,entity_encoded,0.7175954788308806,0.00250934633528217,0.01015271171513349,-0.01436474240120459
recent_period,entity_encoded,0.6783625730994152,-0.01185539606592242,0.015243715808003233,-0.01436474240120459
older_period,is_weekend,0.7175954788308806,0.000489197646815176,0.0015386135945835886,-0.008623168938681258
recent_period,is_weekend,0.6783625730994152,-0.008133971291866082,0.021038493233716152,-0.008623168938681258
older_period,lag1_rank_pct,0.7175954788308806,0.00022459634594336199,0.002227780602074255,-0.007100371642771342
recent_period,lag1_rank_pct,0.6783625730994152,-0.0068757752968279795,0.015518801781691063,-0.007100371642771342
older_period,lag7_rank_pct,0.7175954788308806,-6.823180129920115e-05,0.0012272866909752512,-0.05180134112090532
recent_period,lag7_rank_pct,0.6783625730994152,-0.051869572922204524,0.04887187516544584,-0.05180134112090532
older_period,machine_type_encoded,0.7175954788308806,0.12430412700862448,0.014119671761530261,-0.03190646618991107
recent_period,machine_type_encoded,0.6783625730994152,0.09239766081871341,0.03447084821932075,-0.03190646618991107
older_period,prior_top1_rate,0.7175954788308806,0.05202207786142039,0.0075207844281493024,-0.022357006091085478
recent_period,prior_top1_rate,0.6783625730994152,0.029665071770334915,0.008552211318556152,-0.022357006091085478
older_period,roll7_rank_pct,0.7175954788308806,0.01593476552425782,0.003975198280805718,-0.024352273941766266
recent_period,roll7_rank_pct,0.6783625730994152,-0.008417508417508445,0.015493982886388409,-0.024352273941766266
older_period,weekday_prior_top1_rate,0.7175954788308806,0.0006035265281588154,0.002423441585645649,0.019226351196455736
recent_period,weekday_prior_top1_rate,0.6783625730994152,0.01982987772461455,0.010083102163509175,0.019226351196455736
